id,abundance,sample_id,kingdom,phylum,class,order,family,genus,species
AZC5T_106,185686.27994163128,J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873,
AZC5T_115,45199.44176490994,J,Bacteria,Cyanobacteriota,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,Gastranaerophilus,
AZC5T_21,14218.853986582968,J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,
AZC5T_22,28351.445116646773,J,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila
AZC5T_26,20502.09036233691,J,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,Clostridium,
AZC5T_64,86999.15252703628,J,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,UBA7001,
AZC5T_67,16883.422459775105,J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,DTU089,Eubacterium_R,
AZC5T_69,73028.86273438625,J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,TF01-11,
AZC5T_85,8328.305641899138,J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,GCA_002358575.1
AZC5T_87,28760.428766158126,J,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-582,
AZC5T_98,16481.897379239228,J,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii
AZC7E_107,17601.82007563077,J,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,DTU089,Eubacterium_R,
AZC7E_116,39175.28679460631,J,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,CAG-239,CAG-495,
AZC7E_16,14705.44306724246,J,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii
AZC7E_25,73917.55403663972,J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp1
AZC7E_29,10344.465102134938,J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes_A,
AZC7E_34,11663.495980316717,J,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,
AZC7E_4,152460.4095829555,J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873,
AZC7E_45,25663.142001734108,J,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,
AZC7E_47,50270.94802225308,J,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,Candidatus Southlakia,
AZC7E_54,31518.958401801578,J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-1031,GCA_001689585.1
AZC7E_60,6122.948436272056,J,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp4
