taxon,growth_rate,degree.centrality,distance,independence,mean_d0_abundance,diversity_ratio,log_fold_change,colonization_binary
AZC3J_25,0.0423693760435135,5.15714285714286,0.683531177322353,8.8,7.28407145776e-06,0.845256861531355,-0.806161398401725,0
AZC3J_26,0.0128431161235517,3.44285714285714,0.268088278443919,15.35,0.00027320137066458,0.845256861531355,-0.182314332200437,0
AZC3J_28,0.056390951875832,2.44285714285714,0.877278533037813,21.44,6.858622888348e-05,0.845256861531355,0.7110588839095,0
AZC3J_45,0.0235813349708684,2.92857142857143,0.344827516731079,13.71,0.00069359207116215,0.845256861531355,-0.865594742794079,0
AZC3J_49,0.0520056129545356,7.01428571428571,1.78650805780523,15.25,0.0002746700093122,0.845256861531355,0.189110585100138,0
AZC3J_56,0.0338100364053114,2.02857142857143,0.462861873941348,15.43,0.00016534064800959,0.845256861531355,0.00992574898998697,0
AZC3J_57,0.0248232923850551,3.54285714285714,0.375869854447623,3.02,5.341530456528e-05,0.845256861531355,-0.542057466770408,0
AZC3J_59,0.0362417808268849,3.01428571428571,0.530493638094631,13.07,0.00012464461699559,0.845256861531355,0.251831826866969,0
AZC3J_61,0.0154914151992259,3.12857142857143,0.253268928535252,16.16,0.00066191703062778,0.845256861531355,0.466768538060608,0
AZC3J_64,0.0602470350628385,2.95714285714286,1.44255847990915,14.69,0.00040931237912475,0.845256861531355,0.746242530303496,0
AZC3J_71,0.0150072530809931,2.41428571428571,0.313733082303212,3.48,0.00010533189782684,0.845256861531355,-0.655125858308982,0
AZC3J_73,0.0115563605578296,1.81428571428571,0.268538264672634,15.02,0.00172825468003291,0.845256861531355,-0.296366101925541,0
AZC3J_77,0.0139764459667118,3.78571428571429,0.290192321229549,16.6,0.00146618548283511,0.845256861531355,-0.159107450151436,0
AZC3J_82,0.176928015837295,3.64285714285714,2.97622049243997,15.71,0.00042053683934175,0.845256861531355,0.864789026666187,0
AZC3J_87,0.38782955311017,9.48571428571429,10.5933060087902,17.24,9.33576682711e-05,0.845256861531355,-0.0771319203776264,0
AZC3J_95,0.0165794623808602,2.27142857142857,0.271371497191739,10.09,6.533803383958e-05,0.845256861531355,0.34317786278224,0
AZC3J_99,0.0385039104114148,3.18571428571429,0.75922709715579,6.83,0.00042825995854771,0.845256861531355,-0.781714449740196,0
AZC5T_22,0.0536021417122631,2.82857142857143,0.819087301673295,21.31,6.162198151765e-05,0.845256861531355,0.744045385354095,0
AZC5T_64,0.164409358200677,4.5,3.56300109924095,8.97,0.00073824456200188,0.845256861531355,-2.6185194582822,0
AZC5T_87,0.054370939037871,4.6,0.6632741917012,3.66,0.00011348705277965,0.845256861531355,-1.13178841687425,0
